,Unnamed: 0,patch,mean_RA,mean_DEC,photoz,masses
215,215,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0/sweep-130p025-140p030.fits,135.01111069750326,27.433672970449447,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0-photo-z/sweep-130p025-140p030-pz.fits,/global/cfs/cdirs/desi/users/rongpu/ls_dr9.0_photoz/stellar_mass/south/sweep-130p025-140p030_stellar_mass.npy
303,303,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0/sweep-060m040-070m035.fits,64.97162778909065,-37.465235772583426,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0-photo-z/sweep-060m040-070m035-pz.fits,/global/cfs/cdirs/desi/users/rongpu/ls_dr9.0_photoz/stellar_mass/south/sweep-060m040-070m035_stellar_mass.npy
247,247,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0/sweep-070m020-080m015.fits,74.86125385111394,-18.79213900479541,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0-photo-z/sweep-070m020-080m015-pz.fits,/global/cfs/cdirs/desi/users/rongpu/ls_dr9.0_photoz/stellar_mass/south/sweep-070m020-080m015_stellar_mass.npy
382,382,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0/sweep-010m010-020m005.fits,15.01190433020598,-7.288319570983182,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0-photo-z/sweep-010m010-020m005-pz.fits,/global/cfs/cdirs/desi/users/rongpu/ls_dr9.0_photoz/stellar_mass/south/sweep-010m010-020m005_stellar_mass.npy
97,97,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0/sweep-040p025-050p030.fits,40.461460510235696,26.887338646196305,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0-photo-z/sweep-040p025-050p030-pz.fits,/global/cfs/cdirs/desi/users/rongpu/ls_dr9.0_photoz/stellar_mass/south/sweep-040p025-050p030_stellar_mass.npy
415,415,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0/sweep-010m060-020m055.fits,15.076541156765284,-57.55146071065107,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0-photo-z/sweep-010m060-020m055-pz.fits,/global/cfs/cdirs/desi/users/rongpu/ls_dr9.0_photoz/stellar_mass/south/sweep-010m060-020m055_stellar_mass.npy
540,540,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/north/sweep/9.0/sweep-190p050-200p055.fits,195.01252635097146,52.4626037447152,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/north/sweep/9.0-photo-z/sweep-190p050-200p055-pz.fits,/global/cfs/cdirs/desi/users/rongpu/ls_dr9.0_photoz/stellar_mass/north/sweep-190p050-200p055_stellar_mass.npy
476,476,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/north/sweep/9.0/sweep-210p025-220p030.fits,214.71989612123642,29.61064765479411,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/north/sweep/9.0-photo-z/sweep-210p025-220p030-pz.fits,/global/cfs/cdirs/desi/users/rongpu/ls_dr9.0_photoz/stellar_mass/north/sweep-210p025-220p030_stellar_mass.npy
236,236,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0/sweep-040p010-050p015.fits,41.39338872671532,12.508355827677924,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0-photo-z/sweep-040p010-050p015-pz.fits,/global/cfs/cdirs/desi/users/rongpu/ls_dr9.0_photoz/stellar_mass/south/sweep-040p010-050p015_stellar_mass.npy
17,17,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0/sweep-260p030-270p035.fits,265.1592710116848,31.806997078906733,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0-photo-z/sweep-260p030-270p035-pz.fits,/global/cfs/cdirs/desi/users/rongpu/ls_dr9.0_photoz/stellar_mass/south/sweep-260p030-270p035_stellar_mass.npy
267,267,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0/sweep-330p010-340p015.fits,334.8354127681736,12.505344939279373,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0-photo-z/sweep-330p010-340p015-pz.fits,/global/cfs/cdirs/desi/users/rongpu/ls_dr9.0_photoz/stellar_mass/south/sweep-330p010-340p015_stellar_mass.npy
364,364,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0/sweep-020p005-030p010.fits,24.959225966415744,7.428475506741957,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0-photo-z/sweep-020p005-030p010-pz.fits,/global/cfs/cdirs/desi/users/rongpu/ls_dr9.0_photoz/stellar_mass/south/sweep-020p005-030p010_stellar_mass.npy
252,252,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0/sweep-050p000-060p005.fits,52.33871711737208,1.1149963156958531,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0-photo-z/sweep-050p000-060p005-pz.fits,/global/cfs/cdirs/desi/users/rongpu/ls_dr9.0_photoz/stellar_mass/south/sweep-050p000-060p005_stellar_mass.npy
